i,Runners,Winners,Expected,Archie
0,1,0,0.0097,0.009795011612642634
1,17,1,0.30027,1.6599251919278821
2,86,4,2.28063,1.3315465583707975
3,372,9,13.319520000000022,1.4528393751929347
4,819,52,37.35187000000002,6.019003978026183
5,1700,96,94.3587899999999,0.030223611709021506
6,2666,199,174.08952000000025,3.8134606794021133
7,3331,221,249.8671400000001,3.6054757429273945
8,3660,336,310.92103000000054,2.210675465396134
9,3306,307,313.49200000000036,0.14852449653696242
10,2751,270,288.4783600000002,1.3222821707866377
11,2291,258,263.0533999999998,0.10967105134660034
12,1826,219,228.06606999999988,0.41183135775238
13,1450,198,195.2600999999999,0.04442937572693076
14,1123,170,162.51583000000022,0.40297783756380806
15,846,131,130.9372299999998,0.00003560141866338839
16,695,136,114.45218999999983,4.856562490085597
17,482,78,84.22107000000004,0.5568198186442603
18,381,58,70.34889999999999,2.6585896911359512
19,315,60,61.30518,0.034501867465368485
20,226,46,46.286939999999994,0.002236930634888002
21,163,35,34.98212,0.000011636057996127208
22,136,26,30.596820000000005,0.8910947798198643
23,97,18,22.77502999999999,1.3083229352068815
24,73,22,17.87871,1.2581535806843913
25,60,16,15.292930000000005,0.043874195273541784
26,50,19,13.261499999999998,3.3795019874768806
27,39,8,10.721359999999997,0.9526386618916515
28,30,9,8.53418,0.035534338483311896
29,17,3,5.0176799999999995,1.1510909116721868
30,14,1,4.253950000000001,3.575434037194608
31,9,6,2.8315300000000003,5.173007214672854
32,11,5,3.57916,0.8360819624417432
33,19,7,6.36312,0.09584265762919744
34,16,4,5.531109999999999,0.6477685169170139
35,7,2,2.46587,0.1358824549591787
36,6,2,2.1963299999999997,0.027683701550779097
37,6,1,2.24632,1.1053034071310486
38,3,2,1.1445699999999999,1.0337208492615333
39,0,0,0,NaN
40,0,0,0,NaN
41,1,1,0.41197,1.4273612156224968
42,0,0,0,NaN
43,0,0,0,NaN
44,0,0,0,NaN
45,0,0,0,NaN
46,0,0,0,NaN
47,0,0,0,NaN
48,0,0,0,NaN
49,1,0,0.49652,0.9861762135536666
50,1,1,0.50348,0.9861762135536662
51,0,0,0,NaN
52,0,0,0,NaN
53,0,0,0,NaN
54,0,0,0,NaN
55,0,0,0,NaN
56,0,0,0,NaN
57,0,0,0,NaN
58,0,0,0,NaN
59,0,0,0,NaN
60,0,0,0,NaN
61,0,0,0,NaN
62,0,0,0,NaN
63,0,0,0,NaN
64,0,0,0,NaN
65,0,0,0,NaN
66,0,0,0,NaN
67,0,0,0,NaN
68,0,0,0,NaN
69,0,0,0,NaN
70,0,0,0,NaN
71,0,0,0,NaN
72,0,0,0,NaN
73,0,0,0,NaN
74,0,0,0,NaN
75,0,0,0,NaN
76,0,0,0,NaN
77,0,0,0,NaN
78,0,0,0,NaN
79,0,0,0,NaN
80,0,0,0,NaN
81,0,0,0,NaN
82,0,0,0,NaN
83,0,0,0,NaN
84,0,0,0,NaN
85,0,0,0,NaN
86,0,0,0,NaN
87,0,0,0,NaN
88,0,0,0,NaN
89,0,0,0,NaN
90,0,0,0,NaN
91,0,0,0,NaN
92,0,0,0,NaN
93,0,0,0,NaN
94,0,0,0,NaN
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,0,0,0,NaN
99,0,0,0,NaN
