i,Runners,Winners,Expected,Archie
0,369,19,1.9818000000000002,146.92854828670423
1,634,46,9.75693,136.73267006190255
2,994,52,25.12447,29.494128149877824
3,1390,92,48.80582000000007,39.61886171513834
4,1807,150,81.41455999999987,60.50391302347206
5,2114,178,116.48685000000006,34.37750618992635
6,2282,188,148.30592000000007,11.362567646577473
7,2309,188,173.13364000000033,1.3799955570378595
8,2168,195,184.36641999999998,0.6703089359383394
9,2041,212,193.65676000000033,1.9196181349402568
10,1966,205,205.93224000000012,0.004713953010184098
11,1623,184,186.53804000000005,0.03901700288621981
12,1519,167,189.71395,3.1076019916304736
13,1232,167,166.20451000000008,0.004401122679298003
14,1084,123,157.17968000000008,8.693072865165062
15,870,115,134.76873,3.431339478093865
16,723,91,119.25697000000001,8.017769698307344
17,656,92,114.71116000000013,5.449387968182283
18,501,69,92.66936000000007,7.417586559860907
19,453,60,88.28458000000002,11.255341843211866
20,346,63,70.87205000000002,1.0996186050216896
21,312,54,67.05751000000006,3.23864821267661
22,244,34,54.89125000000002,10.258974113508208
23,213,30,49.96104,10.418928717641942
24,166,35,40.61129,1.0264275430651368
25,138,33,35.153220000000005,0.17697017704865797
26,126,27,33.40082000000001,1.6690813485210108
27,101,20,27.77002,2.99847573771002
28,78,12,22.248800000000003,6.605106542743488
29,57,11,16.77517,2.8173659007124545
30,77,25,23.462270000000014,0.14495090065064067
31,40,12,12.567799999999998,0.03740510415810946
32,40,12,12.96929,0.10719975706005945
33,38,6,12.738680000000002,5.362320838518387
34,35,6,12.07963,4.672476082220308
35,24,6,8.531519999999999,1.165466820142772
36,26,4,9.48124,4.987563077971156
37,11,2,4.13359,1.764239289700291
38,17,6,6.550580000000002,0.07528662764563675
39,19,5,7.5056,1.382628038622031
40,14,2,5.66694,3.986415108731653
41,12,5,4.97002,0.00030869690638313577
42,7,1,2.9633000000000003,2.255637351348889
43,13,3,5.6584900000000005,2.2117063609272996
44,5,1,2.22784,1.2205378993293619
45,8,3,3.6380299999999997,0.20522167872731098
46,7,2,3.25362,0.9025083091356187
47,5,2,2.38427,0.1183844381646339
48,8,3,3.8766,0.38457979324227387
49,5,0,2.48357,4.934709091848372
50,5,0,2.51549,5.062346297660303
51,3,1,1.53987,0.38888757020168563
52,1,1,0.52458,0.906286934309352
53,3,1,1.60721,0.49412954195492004
54,1,0,0.54759,1.2103843858446985
55,4,1,2.21932,1.5048374071476365
56,1,0,0.56236,1.2849830911251257
57,3,0,1.73367,4.107152164127835
58,0,0,0,NaN
59,0,0,0,NaN
60,2,2,1.21293,1.2977995432547629
61,1,0,0.61624,1.605795288722118
62,1,0,0.62706,1.6813964712822436
63,0,0,0,NaN
64,0,0,0,NaN
65,1,0,0.65652,1.9113776639105626
66,0,0,0,NaN
67,0,0,0,NaN
68,1,1,0.68434,0.46126194581640717
69,0,0,0,NaN
70,0,0,0,NaN
71,0,0,0,NaN
72,0,0,0,NaN
73,0,0,0,NaN
74,0,0,0,NaN
75,0,0,0,NaN
76,0,0,0,NaN
77,1,0,0.77638,3.4718719255880504
78,0,0,0,NaN
79,0,0,0,NaN
80,0,0,0,NaN
81,0,0,0,NaN
82,0,0,0,NaN
83,0,0,0,NaN
84,0,0,0,NaN
85,0,0,0,NaN
86,0,0,0,NaN
87,0,0,0,NaN
88,0,0,0,NaN
89,0,0,0,NaN
90,0,0,0,NaN
91,0,0,0,NaN
92,0,0,0,NaN
93,0,0,0,NaN
94,0,0,0,NaN
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,0,0,0,NaN
99,0,0,0,NaN
