i,Runners,Winners,Expected,Archie
0,1998,136,8.541839999999999,1910.0490979930146
1,1766,139,26.45184000000002,486.15544458941366
2,1830,154,45.77819000000001,262.4056700256004
3,1952,162,68.34016000000003,133.01731172942556
4,1938,173,87.05582000000008,88.83734793186115
5,1721,144,94.6172299999999,27.273367838169943
6,1714,149,111.40040999999991,13.57266779915037
7,1593,176,119.35176999999977,29.064695296334772
8,1413,141,120.02354000000024,4.006355730799662
9,1340,137,127.0824300000002,0.8550638572299625
10,1243,130,130.3654600000002,0.0011445525813765407
11,1123,126,129.07430000000005,0.08273295713200453
12,995,107,124.45545999999993,2.798212721858709
13,911,117,123.00269000000016,0.3386654270654348
14,784,82,113.56954000000006,10.262117099749823
15,784,101,121.34469000000018,4.035615275143104
16,683,82,112.64409999999988,9.98297670207501
17,535,68,93.57612999999992,8.472323873634405
18,539,63,99.7493100000001,16.613639829972865
19,431,58,84.01208000000001,10.003946012675941
20,395,48,80.91417000000003,16.837979803034205
21,326,48,70.06240999999997,8.849206996917362
22,309,42,69.48512999999998,14.025866944955963
23,280,41,65.83043000000002,12.244528198984925
24,262,32,64.18474999999998,21.375188247590913
25,205,32,52.19569,10.483372202445842
26,184,24,48.73494,17.077074782244093
27,175,37,48.05161,3.5039186055984
28,149,27,42.506070000000015,7.914326109712372
29,130,20,38.341559999999994,12.444391157357096
30,122,18,37.13727,14.1772770125564
31,121,18,38.07602999999997,15.445760488389654
32,97,15,31.50373,12.804346254939945
33,85,16,28.455659999999998,8.195861544733166
34,88,14,30.380929999999996,13.489395024264065
35,89,16,31.62934000000001,11.98095145945056
36,65,8,23.724539999999994,16.41268117919613
37,63,8,23.624470000000002,16.533418228658345
38,45,14,17.358379999999997,1.0577901043521738
39,40,9,15.787990000000002,4.821527984336363
40,42,8,16.996280000000002,7.998650380556825
41,28,4,11.623610000000003,8.549095551610673
42,38,9,16.111989999999995,5.450174521015603
43,31,8,13.49782,3.9663126874943475
44,26,3,11.572130000000005,11.442879404952842
45,28,4,12.762360000000001,11.054815930961578
46,16,2,7.42525,7.396511666168829
47,11,2,5.23974,3.825261920112361
48,19,5,9.22316,3.757945015861266
49,13,4,6.435269999999999,1.8249625134005822
50,9,1,4.55931,5.631506118487901
51,17,6,8.752839999999999,1.784668062175126
52,19,7,9.984029999999999,1.879496995096593
53,8,3,4.27077,0.8111450859387239
54,8,2,4.36637,2.823540696691942
55,15,3,8.32011,7.638957679746818
56,8,0,4.50196,10.295960023327352
57,6,1,3.45063,4.096146464587207
58,6,1,3.50662,4.31172520297299
59,5,2,2.9712899999999998,0.7825333005911265
60,5,0,3.0232400000000004,7.6469576478682315
61,7,1,4.2974,6.55320502039458
62,6,1,3.7631000000000006,5.441919676382413
63,3,1,1.90579,1.180322198067392
64,4,0,2.58616,7.316697787585582
65,3,1,1.9579199999999999,1.3492229902689197
66,5,2,3.32153,1.5662904308265746
67,6,1,4.0383000000000004,6.991677482113961
68,2,1,1.3646099999999999,0.3066466482538111
69,1,0,0.69959,2.3287839952065514
70,3,1,2.1127599999999997,1.981677540359299
71,3,2,2.1353,0.02974352856265648
72,5,1,3.6177300000000003,6.851579021737493
73,3,2,2.21209,0.07742518182918223
74,4,2,2.9830200000000002,1.274136983112707
75,0,0,0,NaN
76,2,0,1.53233,6.553039536425256
77,1,0,0.7749,3.4424700133274104
78,2,0,1.57055,7.314239143089996
79,1,1,0.79749,0.2539342186108916
80,1,0,0.80865,4.226025607525476
81,2,0,1.63036,8.821339681852615
82,0,0,0,NaN
83,3,0,2.49943,14.979503366162568
84,1,0,0.84729,5.548359635911204
85,0,0,0,NaN
86,1,0,0.86517,6.416747014759326
87,0,0,0,NaN
88,0,0,0,NaN
89,1,0,0.89564,8.582215408202375
90,1,1,0.90945,0.09956567155973393
91,0,0,0,NaN
92,1,0,0.92694,12.687380235422939
93,0,0,0,NaN
94,1,0,0.94841,18.383601473153703
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,1,0,0.98122,52.24813631522892
99,0,0,0,NaN
