i,Runners,Winners,Expected,Archie
0,31,1,0.2212,2.7617017382458426
1,113,5,1.8048799999999992,5.748026087777079
2,341,17,8.816250000000007,7.798243761974601
3,686,35,24.31093,4.872461591032293
4,1258,77,57.18202999999998,7.195520701011084
5,1991,143,110.13346000000006,10.382500698070452
6,2579,179,167.81611999999976,0.7972092552412093
7,2940,243,220.6658200000002,2.4439353007557547
8,3066,249,260.5971000000002,0.5640351045434262
9,2925,283,277.6662600000001,0.11320295101077135
10,2489,276,261.1399300000005,0.9447250127788853
11,2190,232,251.7846200000003,1.7565815130900058
12,1688,195,210.6509000000001,1.3286317440292439
13,1394,170,188.01939000000013,1.9961812830940666
14,1109,167,160.43692999999993,0.3138882533262507
15,925,139,143.08497999999997,0.1379647057651269
16,749,117,123.47114999999987,0.4060989939378838
17,544,83,95.09763000000012,1.8649959932528364
18,458,65,84.58437999999995,5.561634976423815
19,318,63,61.978550000000006,0.02090949678077507
20,275,55,56.303949999999965,0.0379729876744476
21,205,45,44.080580000000005,0.024430142240178365
22,178,35,39.99440999999999,0.8044376946298553
23,108,23,25.342359999999985,0.2828791799323421
24,104,19,25.45515,2.1674677344465
25,87,20,22.191630000000004,0.2905583926895894
26,61,16,16.14759,0.0018346372339989004
27,59,18,16.19176,0.2783189164488429
28,33,12,9.40157,1.0042746236867839
29,31,10,9.135790000000002,0.11590985710457823
30,28,5,8.52162,2.092030522175131
31,22,10,6.91769,2.003301665865853
32,22,6,7.1734100000000005,0.284810055764092
33,14,1,4.67632,4.339733570454819
34,18,3,6.21134,2.5351014166665355
35,20,4,7.104490000000001,2.103967835875317
36,11,4,4.01258,0.00006208882120860217
37,5,1,1.8720799999999997,0.6493855447311658
38,2,0,0.77085,1.2542814139852745
39,5,2,1.9806199999999998,0.00031402094454556197
40,7,2,2.84196,0.4199275179373598
41,5,2,2.08903,0.006517189431673924
42,3,1,1.27902,0.10610571215797988
43,0,0,0,NaN
44,1,1,0.44169,1.264031334193665
45,1,0,0.4578,0.8443378827001107
46,1,1,0.46148,1.166941145878478
47,0,0,0,NaN
48,1,1,0.48072,1.0802130138126145
49,1,0,0.49681,0.9873208927045449
50,1,1,0.50319,0.9873208927045449
51,0,0,0,NaN
52,0,0,0,NaN
53,0,0,0,NaN
54,0,0,0,NaN
55,0,0,0,NaN
56,0,0,0,NaN
57,0,0,0,NaN
58,0,0,0,NaN
59,0,0,0,NaN
60,0,0,0,NaN
61,0,0,0,NaN
62,0,0,0,NaN
63,0,0,0,NaN
64,0,0,0,NaN
65,0,0,0,NaN
66,0,0,0,NaN
67,0,0,0,NaN
68,0,0,0,NaN
69,0,0,0,NaN
70,0,0,0,NaN
71,0,0,0,NaN
72,0,0,0,NaN
73,0,0,0,NaN
74,0,0,0,NaN
75,0,0,0,NaN
76,0,0,0,NaN
77,0,0,0,NaN
78,0,0,0,NaN
79,0,0,0,NaN
80,0,0,0,NaN
81,0,0,0,NaN
82,0,0,0,NaN
83,0,0,0,NaN
84,0,0,0,NaN
85,0,0,0,NaN
86,0,0,0,NaN
87,0,0,0,NaN
88,0,0,0,NaN
89,0,0,0,NaN
90,0,0,0,NaN
91,0,0,0,NaN
92,0,0,0,NaN
93,0,0,0,NaN
94,0,0,0,NaN
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,0,0,0,NaN
99,0,0,0,NaN
